 Mass = 0 
 1.48e+22 3.6571587838e-23 -3.29e+21 5.41e-01 
 -1.90e+20 2.8991449119e-22 -4.89e+21 -5.52e-02 
 -1.52e+22 6.0708031293e-22 -3.05e+21 -9.20e+00 
 -1.96e+22 7.6780738695e-22 9.13e+20 -1.50e+01 
 -1.02e+22 9.0710370695e-22 4.20e+21 -9.25e+00 
 6.44e+21 9.2376706073e-22 4.49e+21 5.94e+00 
 1.86e+22 8.2134839418e-22 1.63e+21 1.53e+01 
 1.76e+22 6.6340649902e-22 -2.34e+21 1.17e+01 
 3.98e+21 4.8245816444e-22 -4.59e+21 1.92e+00 
 -1.26e+22 2.1514190767e-22 -3.54e+21 -2.72e+00 
 -2.03e+22 -1.0234055073e-22 1.29e+19 2.08e+00 
 -1.34e+22 -3.4282837111e-22 3.52e+21 4.61e+00 
 3.18e+21 -5.9054733076e-22 4.47e+21 -1.88e+00 
 1.76e+22 -7.1319121401e-22 2.22e+21 -1.25e+01 
 1.93e+22 -8.2587811545e-22 -1.59e+21 -1.59e+01 
 6.98e+21 -9.3010880535e-22 -4.20e+21 -6.49e+00 
 -1.05e+22 -8.0404657209e-22 -3.74e+21 8.47e+00 
 -2.05e+22 -7.3377586644e-22 -5.63e+20 1.50e+01 
 -1.56e+22 -4.3043790975e-22 2.99e+21 6.70e+00 
 8.05e+20 -2.2288498760e-22 4.32e+21 -1.79e-01 
 1.67e+22 8.3020293737e-23 2.49e+21 1.39e+00 
 2.04e+22 2.8446867885e-22 -1.12e+21 5.80e+00 
 8.97e+21 5.7417528971e-22 -3.83e+21 5.15e+00 
 -9.22e+21 7.4578946760e-22 -3.67e+21 -6.88e+00 
 -2.07e+22 8.5869259212e-22 -8.11e+20 -1.78e+01 
 -1.69e+22 8.8572284740e-22 2.60e+21 -1.49e+01 
 -3.61e+20 7.5902299173e-22 4.04e+21 -2.74e-01 
 1.65e+22 6.8238212277e-22 2.48e+21 1.13e+01 
 2.11e+22 4.0121245054e-22 -8.92e+20 8.45e+00 
 9.73e+21 2.1248167078e-22 -3.53e+21 2.07e+00 
 -9.05e+21 -4.2761089674e-23 -3.47e+21 3.87e-01 
 -2.11e+22 -3.2026157449e-22 -7.98e+20 6.77e+00 
 -1.73e+22 -5.0079012325e-22 2.44e+21 8.66e+00 
 -2.80e+20 -7.2465586484e-22 3.78e+21 2.03e-01 
 1.71e+22 -8.2303648377e-22 2.25e+21 -1.41e+01 
 2.15e+22 -8.6023989433e-22 -9.32e+20 -1.85e+01 
 9.39e+21 -8.9314447237e-22 -3.32e+21 -8.39e+00 
 -1.01e+22 -7.6136344141e-22 -3.11e+21 7.69e+00 
 -2.20e+22 -4.9108235869e-22 -5.35e+20 1.08e+01 
 -1.69e+22 -1.4192873057e-22 2.39e+21 2.40e+00 
 1.32e+21 1.4598322710e-22 3.43e+21 1.92e-01 
 1.87e+22 4.4491203341e-22 1.83e+21 8.30e+00 
 2.15e+22 6.7987515126e-22 -1.13e+21 1.46e+01 
 7.51e+21 8.3071515508e-22 -3.13e+21 6.24e+00 
 -1.25e+22 9.8806206704e-22 -2.65e+21 -1.24e+01 
 -2.29e+22 9.3379589568e-22 -9.61e+19 -2.14e+01 
 -1.53e+22 7.9605277597e-22 2.48e+21 -1.22e+01 
 4.46e+21 6.0522277927e-22 3.05e+21 2.70e+00 
 2.08e+22 2.5994421436e-22 1.24e+21 5.41e+00 
 2.07e+22 -5.3966972226e-23 -1.47e+21 -1.12e+00 
 4.01e+21 -3.5134298282e-22 -2.91e+21 -1.41e+00 
 -1.61e+22 -6.5350677483e-22 -1.99e+21 1.05e+01 
 -2.35e+22 -7.4002243146e-22 4.66e+20 1.74e+01 
 -1.20e+22 -8.6697516781e-22 2.48e+21 1.04e+01 
 9.34e+21 -8.8434367634e-22 2.48e+21 -8.26e+00 
 2.32e+22 -8.1945717033e-22 5.26e+20 -1.90e+01 
 1.83e+22 -5.7205109752e-22 -1.76e+21 -1.05e+01 
 -1.65e+21 -3.9136604580e-22 -2.53e+21 6.47e-01 
 -2.04e+22 -8.0953471771e-23 -1.22e+21 1.65e+00 
 -2.26e+22 1.1528162563e-22 1.04e+21 -2.61e+00 
 -6.25e+21 4.1769170187e-22 2.39e+21 -2.61e+00 
 1.54e+22 6.8371105652e-22 1.75e+21 1.05e+01 
 2.45e+22 8.2544348839e-22 -2.49e+20 2.02e+01 
 1.33e+22 9.1092041298e-22 -1.92e+21 1.21e+01 
 -9.21e+21 8.8594593896e-22 -1.91e+21 -8.16e+00 
 -2.42e+22 7.4230375520e-22 -3.42e+20 -1.80e+01 
 -1.91e+22 5.7812691095e-22 1.43e+21 -1.10e+01 
 2.22e+21 2.0425112177e-22 1.95e+21 4.53e-01 
 2.18e+22 -9.6854068274e-23 8.69e+20 -2.11e+00 
 2.31e+22 -4.2133190539e-22 -8.39e+20 -9.71e+00 
 4.68e+21 -7.3767138349e-22 -1.73e+21 -3.45e+00 
 -1.79e+22 -9.1789941291e-22 -1.10e+21 1.64e+01 
 -2.54e+22 -9.7051051209e-22 4.22e+20 2.46e+01 
 -1.12e+22 -8.9114860061e-22 1.50e+21 1.00e+01 
 1.27e+22 -8.0783259088e-22 1.26e+21 -1.03e+01 
 2.59e+22 -4.6364416565e-22 9.03e+18 -1.20e+01 
 1.68e+22 -1.5353622401e-22 -1.09e+21 -2.57e+00 
 -7.14e+21 1.1377533403e-22 -1.14e+21 -8.13e-01 
 -2.51e+22 4.6910111429e-22 -2.14e+20 -1.18e+01 
 -2.13e+22 6.9973825279e-22 7.99e+20 -1.49e+01 
 1.31e+21 8.8200234012e-22 1.05e+21 1.16e+00 
 2.29e+22 9.9629234014e-22 4.15e+20 2.29e+01 
 2.44e+22 9.5033140103e-22 -4.50e+20 2.32e+01 
 4.23e+21 7.4399798576e-22 -7.83e+20 3.15e+00 
 -2.00e+22 4.6629564029e-22 -3.67e+20 -9.32e+00 
 -2.66e+22 1.0567952827e-22 3.19e+20 -2.81e+00 
 -9.51e+21 -2.6099309853e-22 6.18e+20 2.48e+00 
 1.63e+22 -5.4257956428e-22 3.33e+20 -8.86e+00 
 2.77e+22 -8.1495025816e-22 -1.40e+20 -2.26e+01 
 1.41e+22 -9.0481046529e-22 -3.00e+20 -1.27e+01 
 -1.26e+22 -9.4710646204e-22 -8.03e+19 1.19e+01 
 -2.81e+22 -9.2021023651e-22 1.65e+20 2.59e+01 
 -1.80e+22 -6.9647837682e-22 1.34e+20 1.25e+01 
 8.77e+21 -3.3230553785e-22 -7.40e+19 -2.92e+00 
 2.77e+22 1.0218889411e-22 -1.28e+20 2.83e+00 
 2.11e+22 4.0539267534e-22 1.10e+20 8.57e+00 
 -5.19e+21 6.6321881736e-22 3.90e+20 -3.44e+00 
 -2.70e+22 8.1912024092e-22 3.25e+20 -2.21e+01 
 -2.38e+22 9.3127100778e-22 -1.47e+20 -2.22e+01 
 1.75e+21 9.7547822940e-22 -5.89e+20 1.70e+00 
 2.60e+22 7.9501605289e-22 -4.43e+20 2.06e+01 
 2.59e+22 5.2537039036e-22 3.17e+20 1.36e+01 
 1.11e+21 1.2954959792e-22 9.80e+20 1.44e-01 
 -2.51e+22 -2.6441724201e-22 7.50e+20 6.63e+00 
